Account No.,DATE,Transaction Details,CHQ.NO.,Value Date,Withdrawal Amount,Deposit Amount,Balance Amount,.
1196711',6-Oct-15,IRTT00701513652,,6-Oct-15,"1,461.79",,"-46,196,768.80",.
1196711',7-Oct-15,RTGS/YESBH15280015242/Indfor,,7-Oct-15,"10,000,000.00",,"-56,196,768.80",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"10,000,000.00",,"-66,196,768.80",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"10,000,000.00",,"-76,196,768.80",.
1196711',7-Oct-15,RTGS/ICICH15280016715/Indfor,,7-Oct-15,,"15,000,000.00","-61,196,768.80",.
1196711',7-Oct-15,RTGS/ICICH15280016720/Indfor,,7-Oct-15,,"15,000,000.00","-46,196,768.80",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"15,000,000.00",,"-61,196,768.80",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"10,000,000.00",,"-71,196,768.80",.
1196711',7-Oct-15,TATA TELESERVICES LTD AC,873907,7-Oct-15,"1,142.00",,"-71,197,910.80",.
1196711',7-Oct-15,INDER PRAKASH SARID,873918,7-Oct-15,"592,982.00",,"-71,790,892.80",.
1196711',7-Oct-15,TRANGLO SDN BHD/USD/70000,,7-Oct-15,,"4,555,600.00","-67,235,292.80",.
1196711',7-Oct-15,IRTT00701513709,,7-Oct-15,"1,552.78",,"-67,236,845.58",.
1196711',7-Oct-15,RTGS/SBINH15280809398/Indfor,,7-Oct-15,,"12,000,000.00","-55,236,845.58",.
1196711',7-Oct-15,RTGS/ICICH15280047445/Indfor,,7-Oct-15,,"8,000,000.00","-47,236,845.58",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"8,000,000.00",,"-55,236,845.58",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"10,000,000.00",,"-65,236,845.58",.
1196711',7-Oct-15,RTGS/ICICH15280065315/Indfor,,7-Oct-15,,"10,000,000.00","-55,236,845.58",.
1196711',7-Oct-15,RTGS/ICICH15280065323/Indfor,,7-Oct-15,,"10,000,000.00","-45,236,845.58",.
1196711',7-Oct-15,RTGS/SBINH15280826115/Indfor,,7-Oct-15,,"14,900,000.00","-30,336,845.58",.
1196711',7-Oct-15,RTGS/SBINH15280826154/Indfor,,7-Oct-15,,"10,000,000.00","-20,336,845.58",.
1196711',7-Oct-15,Indiaforensic SERVICES INDIA PVT,,7-Oct-15,,"4,887,589.00","-15,449,256.58",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"15,000,000.00",,"-30,449,256.58",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"15,000,000.00",,"-45,449,256.58",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"15,000,000.00",,"-60,449,256.58",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"15,000,000.00",,"-75,449,256.58",.
1196711',7-Oct-15,INTERNAL FUND TRANSFER IN,,7-Oct-15,"15,000,000.00",,"-90,449,256.58",.
1196711',7-Oct-15,NEFT/AXISF15280029353/Indfor,,7-Oct-15,,"1,900,000.00","-88,549,256.58",.
1196711',7-Oct-15,NEFT/SBIN715280720258/Indfor,,7-Oct-15,,"14,900,000.00","-73,649,256.58",.
1196711',7-Oct-15,NEFT/AXISF15280029383/Indfor,,7-Oct-15,,"1,200,000.00","-72,449,256.58",.
1196711',7-Oct-15,NEFT/FDRL342280535/Indiaforensic,,7-Oct-15,,"10,000,000.00","-62,449,256.58",.
1196711',7-Oct-15,NEFT/FDRL342280694/Indiaforensic,,7-Oct-15,,"5,000,000.00","-57,449,256.58",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"10,000,000.00",,"-67,449,256.58",.
1196711',8-Oct-15,RTGS/ICICH15281089595/Indfor,,8-Oct-15,,"10,000,000.00","-57,449,256.58",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"15,000,000.00",,"-72,449,256.58",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"500,000.00",,"-72,949,256.58",.
1196711',8-Oct-15,FIXED  MOBILE PTE LTD/USD,,8-Oct-15,,"6,482,276.30","-66,466,980.28",.
1196711',8-Oct-15,IRTT00701513760,,8-Oct-15,"1,822.52",,"-66,468,802.80",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"15,000,000.00",,"-81,468,802.80",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"15,000,000.00",,"-96,468,802.80",.
1196711',8-Oct-15,SONU GUPTA,873919,8-Oct-15,"20,000.00",,"-96,488,802.80",.
1196711',8-Oct-15,ETRAVEL VALUE  INDIA P LT,873915,8-Oct-15,"154,620.00",,"-96,643,422.80",.
1196711',8-Oct-15,IRTT00701513760:Remittanc,,8-Oct-15,285,,"-96,643,707.80",.
1196711',8-Oct-15,RTGS/SBINH15281865646/Indfor,,8-Oct-15,,"5,000,000.00","-91,643,707.80",.
1196711',8-Oct-15,Indiaforensic SERVICES INDIA PVT,,8-Oct-15,,"4,745,601.00","-86,898,106.80",.
1196711',8-Oct-15,RTGS/SBINH15281865637/Indfor,,8-Oct-15,,"14,900,000.00","-71,998,106.80",.
1196711',8-Oct-15,RTGS/SBINH15281865638/Indfor,,8-Oct-15,,"14,900,000.00","-57,098,106.80",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"12,000,000.00",,"-69,098,106.80",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"12,000,000.00",,"-81,098,106.80",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"15,000,000.00",,"-96,098,106.80",.
1196711',8-Oct-15,RTGS/SBINH15281877826/Indfor,,8-Oct-15,,"14,900,000.00","-81,198,106.80",.
1196711',8-Oct-15,RTGS/SBINH15281877880/Indfor,,8-Oct-15,,"14,900,000.00","-66,298,106.80",.
1196711',8-Oct-15,NEFT/FDRL342280624/Indiaforensic,,8-Oct-15,,"15,000,000.00","-51,298,106.80",.
1196711',8-Oct-15,NEFT/FDRL342280645/Indiaforensic,,8-Oct-15,,"10,000,000.00","-41,298,106.80",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"15,000,000.00",,"-56,298,106.80",.
1196711',8-Oct-15,INTERNAL FUND TRANSFER IN,,8-Oct-15,"15,000,000.00",,"-71,298,106.80",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL19101,,17-Oct,"76,389.00",,"1,214,521.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL20101,,17-Oct,"62,725.00",,"1,151,796.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL21101,,17-Oct,"39,000.00",,"1,112,796.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL22101,,17-Oct,"9,600.00",,"1,103,196.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL23101,,17-Oct,"123,260.00",,"979,936.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL24101,,17-Oct,"369,803.00",,"610,133.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL25101,,17-Oct,"170,125.00",,"440,008.00",.
409000611074',17-Oct,FDRL/INTERNAL FUND TRANSFE,,17-Oct,,"500,000.00","940,008.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL26101,,17-Oct,"208,000.00",,"732,008.00",.
409000611074',17-Oct,FDRL/INTERNAL FUND TRANSFE,,17-Oct,,"500,000.00","1,232,008.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL27101,,17-Oct,"291,150.00",,"940,858.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL28101,,17-Oct,"24,000.00",,"916,858.00",.
409000611074',17-Oct,INDO GIBL Indiaforensic STL30101,,17-Oct,"141,546.00",,"775,312.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL31101,,17-Nov,"80,000.00",,"695,312.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL01111,,17-Nov,"46,250.00",,"649,062.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL02111,,17-Nov,"42,825.00",,"606,237.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL03111,,17-Nov,"179,463.00",,"426,774.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL04111,,17-Nov,"18,949.00",,"407,825.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL05111,,17-Nov,"91,441.00",,"316,384.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL06111,,17-Nov,"147,750.00",,"168,634.00",.
409000611074',17-Nov,FDRL/INTERNAL FUND TRANSFE,,17-Nov,,"500,000.00","668,634.00",.
409000611074',17-Nov,FDRL/INTERNAL FUND TRANSFE,,17-Nov,,"500,000.00","1,168,634.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL07111,,17-Nov,"110,188.00",,"1,058,446.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL08111,,17-Nov,"61,870.00",,"996,576.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL09111,,17-Nov,"84,101.00",,"912,475.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL10111,,17-Nov,"129,700.00",,"782,775.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL11111,,17-Nov,"7,499.00",,"775,276.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL12111,,17-Nov,"80,100.00",,"695,176.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL13111,,17-Nov,"143,850.00",,"551,326.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL14111,,17-Nov,"289,500.00",,"261,826.00",.
409000611074',17-Nov,FDRL/INTERNAL FUND TRANSFE,,17-Nov,,"500,000.00","761,826.00",.
409000611074',17-Nov,FDRL/INTERNAL FUND TRANSFE,,17-Nov,,"500,000.00","1,261,826.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL16111,,17-Nov,"94,900.00",,"1,166,926.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL15111,,17-Nov,"224,851.00",,"942,075.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL17111,,17-Nov,"284,953.00",,"657,122.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL18111,,17-Nov,"115,150.00",,"541,972.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL19111,,17-Nov,"40,000.00",,"501,972.00",.
409000611074',17-Nov,FDRL/INTERNAL FUND TRANSFE,,17-Nov,,"500,000.00","1,001,972.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL20111,,17-Nov,"145,900.00",,"856,072.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL21111,,17-Nov,"83,251.00",,"772,821.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL22111,,17-Nov,"192,200.00",,"580,621.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL23111,,17-Nov,"74,799.00",,"505,822.00",.
409000611074',17-Nov,FDRL/INTERNAL FUND TRANSFE,,17-Nov,,"500,000.00","1,005,822.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL24117,,17-Nov,"19,400.00",,"986,422.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL25117,,17-Nov,"39,700.00",,"946,722.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL26117,,17-Nov,"42,800.00",,"903,922.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL27111,,17-Nov,"100,402.00",,"803,520.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL28111,,17-Nov,"101,500.00",,"702,020.00",.
409000611074',17-Nov,INDO GIBL Indiaforensic STL29111,,17-Nov,"36,961.00",,"665,059.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL30111,,17-Dec,"67,850.00",,"597,209.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL01121,,17-Dec,"19,800.00",,"577,409.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL02121,,17-Dec,"10,000.00",,"567,409.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL03121,,17-Dec,"24,500.00",,"542,909.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL04121,,17-Dec,"41,700.00",,"501,209.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,001,209.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL05121,,17-Dec,"218,050.00",,"783,159.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL06121,,17-Dec,"186,400.00",,"596,759.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL07121,,17-Dec,"171,330.00",,"425,429.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL08121,,17-Dec,"34,400.00",,"391,029.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL09121,,17-Dec,"51,199.00",,"339,830.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL10121,,17-Dec,"159,150.00",,"180,680.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","680,680.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,180,680.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL11121,,17-Dec,"206,075.00",,"974,605.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL12121,,17-Dec,"142,000.00",,"832,605.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL13121,,17-Dec,"350,350.00",,"482,255.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL14121,,17-Dec,"343,900.00",,"138,355.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","638,355.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,138,355.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL15121,,17-Dec,"210,500.00",,"927,855.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL17121,,17-Dec,"139,500.00",,"788,355.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL16121,,17-Dec,"92,550.00",,"695,805.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,195,805.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,695,805.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL18121,,17-Dec,"654,498.00",,"1,041,307.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL19121,,17-Dec,"504,450.00",,"536,857.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,036,857.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL20121,,17-Dec,"561,225.00",,"475,632.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","975,632.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,475,632.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL21121,,17-Dec,"146,050.00",,"1,329,582.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL22121,,17-Dec,"100,300.00",,"1,229,282.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL23121,,17-Dec,"62,425.00",,"1,166,857.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL24121,,17-Dec,"365,300.00",,"801,557.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL25121,,17-Dec,"23,550.00",,"778,007.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","1,278,007.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL26121,,17-Dec,"259,525.00",,"1,018,482.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL27121,,17-Dec,"383,110.00",,"635,372.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL28121,,17-Dec,"138,150.00",,"497,222.00",.
409000611074',17-Dec,FDRL/INTERNAL FUND TRANSFE,,17-Dec,,"500,000.00","997,222.00",.
409000611074',17-Dec,INDO GIBL Indiaforensic STL29121,,17-Dec,"285,399.00",,"711,823.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL31121,,18-Jan,"14,000.00",,"697,823.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL30121,,18-Jan,"54,250.00",,"643,573.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL01011,,18-Jan,"147,500.00",,"496,073.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","996,073.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL02011,,18-Jan,"323,500.00",,"672,573.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL03011,,18-Jan,"180,300.00",,"492,273.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","992,273.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","1,492,273.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL04011,,18-Jan,"222,800.00",,"1,269,473.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL05011,,18-Jan,"145,450.00",,"1,124,023.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL06011,,18-Jan,"182,000.00",,"942,023.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL07011,,18-Jan,"205,075.00",,"736,948.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL08011,,18-Jan,"170,500.00",,"566,448.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","1,066,448.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL09011,,18-Jan,"495,252.00",,"571,196.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL10011,,18-Jan,"256,600.00",,"314,596.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","814,596.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","1,314,596.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","1,814,596.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","2,314,596.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL14011,,18-Jan,"5,000.00",,"2,309,596.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL11011,,18-Jan,"348,200.00",,"1,961,396.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL13011,,18-Jan,"112,900.00",,"1,848,496.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL12011,,18-Jan,"392,251.00",,"1,456,245.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL15011,,18-Jan,"412,300.00",,"1,043,945.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL16011,,18-Jan,"518,375.00",,"525,570.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL19011,,18-Jan,"296,450.00",,"229,120.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","729,120.00",.
409000611074',18-Jan,FDRL/INTERNAL FUND TRANSFE,,18-Jan,,"500,000.00","1,229,120.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL22011,,18-Jan,"274,600.00",,"954,520.00",.
409000611074',18-Jan,INDO GIBL Indiaforensic STL20011,,18-Jan,"159,725.00",,"794,795.00",.
